appid;name;Precios
1802380;Conway: Disappearance at Dahlia View OST;ARS$ 78,99
1802430;A Maze Fox;ARS$ 39,99
1802500;Commuter;ARS$ 26,99
1802520;Snow Scout;ARS$ 250,00
1802550;ユトレピアの伝説;ARS$ 400,00
1802620;Consume Thy Flesh: The Pumpkin Smashing Sim;ARS$ 13,99
1802630;Futa Battle TD;ARS$ 26,99
1802690;Carrier Command;ARS$ 765,00
1801814;Starry Moon Island 2 Out Of Control MP05;ARS$ 13,99
1801815;Starry Moon Island 2 Out Of Control MP06;ARS$ 13,99
1801816;Starry Moon Island 2 Out Of Control MP07;ARS$ 13,99
1801817;Starry Moon Island 2 Out Of Control MP08;ARS$ 13,99
1801818;Starry Moon Island 2 Out Of Control MP09;ARS$ 13,99
1801819;Starry Moon Island 2 Out Of Control MP10;ARS$ 13,99
1801850;Cats War;ARS$ 6,99
1837000;Two World Portal;ARS$ 67,99
1837020;MotionMuse;ARS$ 389,99
1837060;Rome 2077: Tactics;ARS$ 26,99
1836160;PANELKI;ARS$ 94,99
1836180;Turn off the light;ARS$ 1.750,00
1836210;Blocky Snake;ARS$ 82,00
1836220;Frigore;ARS$ 26,99
1836230;Evening Ecchi;ARS$ 8,09
1836280;Billy 101;ARS$ 249,00
1836290;They Die Tomorrow;ARS$ 129,99
1836360;Catherine Ragnor and the Legend of the Flying Dutchman;ARS$ 47,40
1836380;manaCompiler;ARS$ 2.100,00
1836390;BLANK SPACE;ARS$ 892,50
1836420;Monster Girl Invasion RPG;ARS$ 900,00
1836590;Sex Dating Trip;ARS$ 67,99
1835760;qlhls-88资源拓展包2;ARS$ 1.000,00
1835761;qlhls-88资源拓展包3;ARS$ 1.000,00
1835790;Neon Horizon:Eclipse;ARS$ 94,99
1835810;Amelie;ARS$ 53,99
1835820;BetWin;ARS$ 13,99
1835830;Dead End Aegis;ARS$ 999,00
1835840;Quarantineer;ARS$ 1.099,99
1835870;黑猫魔法师;ARS$ 153,99
1835880;Conqueror's Blade-Santa Costume;ARS$ 3.035,00
1835881;Conqueror's Blade-Santa's Helper's Costume;ARS$ 3.035,00
1835970;ICEwall;ARS$ 114,99
1836030;只兔：不灭的勇者;ARS$ 104,99
1836040;Tadahito：Story of Ellis  Town Version;ARS$ 329,99
1835200;Titanic: Fall Of A Legend;ARS$ 765,00
1835210;Roadworks 2;ARS$ 39,99
1835250;Escape;ARS$ 13,99
1835260;Brewmastery;ARS$ 700,00
1835281;Figurine Scene Simulator: Natural History (Premium Unlock);ARS$ 199,99
1835290;Crates n' Mohawks;ARS$ 82,00
1835310;Babba Yagga: Woodboy;ARS$ 104,99
1835350;道不可道;ARS$ 26,99
1835360;灵子：重返荒野;ARS$ 161,97
1835370;Balls and Dungeons;ARS$ 26,99
1835460;VARIABLE PICTOGRAM JUMP;ARS$ 67,99
1835490;Slayer;ARS$ 39,99
1835510;The House On Holland Hill;ARS$ 26,99
1835530;Zombie Slaughter VR;ARS$ 53,99
1835560;Endless Zombie Weekend;ARS$ 14,29
1835640;The Search for MR Fimple;ARS$ 82,00
1834710;Last Bastion;ARS$ 165,00
1834720;Blossom, La Jirafa SAGA;ARS$ 800,00
1834740;HYPERBLADE;ARS$ 475,00
1834760;Humanities Legend: Hollow Ascending;ARS$ 224,99
1834820;First Bite;ARS$ 129,99
1834920;Countryball: Europe 1890;ARS$ 53,99
1834940;Hen in the Foxhouse;ARS$ 67,99
1834950;Salaryman Shi;ARS$ 67,99
1835060;Christmas Celebration With Sakuya Izayoi;ARS$ 53,99
1835070;Gem Raider 2;ARS$ 67,99
1834270;Campaign Management;ARS$ 224,99
1834390;欲望忍者/Desire Ninja;ARS$ 26,99
1834410;Late photographer-puzzle-Swimsuit party;ARS$ 114,99
1834420;Keiko-san (47) my co-worker, is a single mother;ARS$ 94,99
1834430;Dots and Dashes;ARS$ 104,99
1834470;Horny Pixels;ARS$ 14,99
1834540;Spinning Maze;ARS$ 26,99
1834550;Dark Flame;ARS$ 13,99
1834570;Mr Meal;ARS$ 550,00
1834580;From Heaven To Earth;ARS$ 129,99
1834620;The Shore VR;ARS$ 149,99
1834640;Spy Robot: Gateways To Humanity;ARS$ 612,00
1834110;Headland;ARS$ 129,99
1834120;Icemaze Cave: Skate Escape;ARS$ 475,00
1834140;Christmas Sort Puzzle;ARS$ 33,00
1834170;Vector Elite;ARS$ 159,99
1833620;Mad Geometry;ARS$ 835,00
1833650;Devil Should Die;ARS$ 5,12
1833670;2048 3D;ARS$ 13,99
1833740;Wolfstride OST;ARS$ 160,00
1833820;From Red to Green;ARS$ 26,99
1833840;Lovely Girls;ARS$ 39,47
1833850;HelloWorld:ESCAPE;ARS$ 26,99
1833890;Fish Story: Gourmet Puzzle;ARS$ 4,19
1833900;Color Slots;ARS$ 53,99
1833910;游戏玩家中医体质测试及养生指南;ARS$ 180,00
1833920;Space Balls;ARS$ 26,99
1833930;Primasia;ARS$ 329,99
1833940;Lovely Girls Arts;ARS$ 13,99
1834010;Desktop Hacker;ARS$ 179,99
1833130;Funmi;ARS$ 39,99
1833340;Anima;ARS$ 224,99
1833350;Straight Ahead;ARS$ 53,99
1833360;Triclinium;ARS$ 13,99
1833490;GOODBYE WORLD;ARS$ 600,00
1833530;Beatus Creation Solitaire;ARS$ 224,99
1833560;Witchhazel Woods;ARS$ 104,99
1832680;Lovely Anna;ARS$ 13,99
1832700;Diamond Hands Arena;ARS$ 67,99
1832710;AstroBytes: Vedic Astrology Future Predictor;ARS$ 224,99
1832740;Erophone Re;ARS$ 1.200,00
1832760;DarkBlood -Reborn-;ARS$ 129,99
1832790;Sumo Stuntmen 7;ARS$ 200,00
1832910;Atomicrops: Reap What You Crow;ARS$ 200,00
1832980;Food Poppers;ARS$ 26,99
1833020;Age of Dynasty;ARS$ 400,00
1833040;晴末置雨;ARS$ 26,99
1832230;Color Flash;ARS$ 39,99
1832250;Christmas Stories: Yulemen Collector's Edition;ARS$ 169,99
1832260;Chromarena;ARS$ 39,99
1832280;Mugen Abisu;ARS$ 26,99
