appid;name;Precios
2399160;Soulash 2;
2399170;Turn By Turn Villain;
2399220;NUKITASHI;
2398410;Hyper Hentai Sexy Sensei;
2398480;Keystone Titans;
2398530;Top PUA;
2398570;D&D;
2398590;Azure Orphanage;
2398630;Holidays in Khrushchevsk;
2398660;ユメノメイキュウ;
2398740;SpaceSlog Custom Character in Game Access;
2398750;The Trade Prince;
2398760;Overdrive Escape;
2398800;Wings of Angels;
2398870;OURWORLD;
2397910;Transfusion;
2397980;The Secret Planet;
2398000;Mega Maze;
2398010;POLYGON游戏编辑器;
2398020;Tuk Tuk Race;
2398030;FPV LOGIC;
2398110;Get Rich Slow;
2398120;Roma Incognita;
2398130;Supergalactix;
2398140;Bail Force;
2398170;BORE BLASTERS;
2398190;Labophobia;
2398220;The Hero's Way;
2398240;Milites Fortunae;
2398260;池畔追思 Poolcore Reflection;
2398290;King of the Arcade;
2398310;ALTER EGO;
2398350;Eclectic Expansion Enterprise;
2398360;Destroy the Wall;
2398370;Don't Drown;
2397400;Unnatural Season Two;
2397440;Momogatari;
2397490;The Tarot Experience;
2397600;Realms of Flow;
2397630;Bad Egg;
2397690;Blooby Block;
2397700;Crystal of Atlantis;
2397750;The Omins;
2397770;Seduce her Harem;
2397830;Hexa Puzzle Saga;
2397840;Owinka Shooter 2;
2397000;No Border;
2397010;Joel's Revenge;
2397020;Surviving Soldier;
2397030;Air Fury;
2397040;Smart Fish;
2397080;Explorer：Golden Empire;
2397110;最後の恋、僕にください;
2397130;轮回修仙路-龙女;
2397140;東京サイコデミック;
2397200;Ash of Gods: Coffee for Coding;
2397230;Freak Hunter A Retro Type;
2397260;Loot and Shoot;
2397370;Missile Collector Man;
2397380;The Cold Hand;
2396510;Castaway Station;
2396530;Brainroll;
2396540;Mediterranean VR;
2396630;Unsupervised;
2396640;Catch The Fox;
2396670;Mystic Mischief;
2396680;Madness Chambers;
2396690;Just Life;
2396740;Morningstar: Book of the Fallen;
2396760;ShellShot Arena;
2396800;ボクらの消しゴム落とし3 世界編;
