appid;name;Precios
2375440;《蜀山：初章》买断版;
2375450;Flavor Favor;
2375480;Space Saga;
2375550;Like a Dragon Gaiden: The Man Who Erased His Name;
2375570;Champion's Chalice;
2375640;A Cairn Tale;
2375730;Mercenaries of the Kingdom;
2375740;5 Minute Climb;
2375780;Eyeware Beam Webcam Edition;
2375020;HexBat;
2375070;The Final Exhibition;
2375280;I Had a Plan!;
2375290;The Birth of Sprites;
2374440;A.S.S.: Awesome Street Skaters;
2374520;CODE: PANDORA DrmFree;
2374550;Omnipresence;
2374610;Memeside;
2374620;Superbot Arena;
2374660;绝密档案;
2374730;THE NEXT WORLD;
2373940;James is bananas;
2373970;Indie Game Farmer;
2374030;Unmanned：Midnight Nightmare;
2374170;星空之瞭望;
2374210;Situation TARFU;
2374290;Crab Raid Tactics;
2374320;Heroes Of  Loot: Gauntlet Of Power;
2374340;Gobyworld;
2374410;我的英雄：陨落之后;
2459410;机战新世纪;
2459430;Plastomorphosis;
2459460;Grapplania;
2459490;This Grand Life 2;
2459510;Teratale: Tide of Wishes;
2459550;Emberward;
2459620;William and Sly;
2459820;Flat Spot;
2458860;Summer Clover;
2458920;WAGON;
2458980;Dimhaven Enigmas;
2459030;Locator;
2459280;Ecstasy / Light / Inertia;
2459350;Vinovella University Book One;
2458370;Chronicles of the Soulforged;
2458410;Hex Racer;
2458430;LEILA;
2458500;Venatur;
2458540;Twist & Turn;
2458620;Fred's Cereal Company;
2458830;Towerborne;
2457930;VR Dinosaur City War;
2457970;Amicade;
2458010;Dungeon Mutation;
2458250;Cry Babies Magic Tears: The Big Game;
2458280;Tribe Quest;
2458300;Planetgore;
2457410;Choice of Rebels: Stormwright;
2457610;Ember: Reignition;
2457620;花都之恋-巴黎的少女们;
2457640;HEARTRENDER;
2457720;如影随形 (Loopush);
2457770;UnderTheStars : 阿兰若;
2457870;Sandy's Great Escape;
2456880;The Owl, the Thief and the Strawberries;
2457050;Mearcair/System Pulse;
2457210;Undershadows;
2457220;Avowed;
2457280;Errships;
2456430;Athena Crisis;
2456500;Parallel Pals;
2456580;Nusantara Adventures;
2456650;阿西娅：回到梦境;
2456820;Falling Limbs;
2456860;TheLastTrain;
2456870;Big Job;
2455900;Astronauters;
2455920;Mimic Logic;
2455940;After School;
2456020;Withering Way;
2456120;Claw Machine Sim;
2456140;Scoops & Social Ice-Olation;
2456160;Doors & Loot;
2456260;While waiting my turn;
2456280;this morning I decided to die;
2456290;Midnight Havoc;
2456320;Cervus Blade;
2455430;JustAxe;
2455460;Milord;
2455490;Reapers Inc.;
2455510;Jezebel: Givin' Love a Shot;
2455570;Hao Diary: Make a Game;
2455740;Rad Venture;
2455780;Eventide Matter;
2455820;Bite Size Terrors: see no FEAR;
2455840;Bite Size Terrors: Toys4Amy;
2455850;Bite Size Terrors: Reverse Blue;
2455870;Bite Size Terrors: Speechless;
2455880;Wasteland: Reconnect;
2455020;Sexorcism;
2455110;Yokai Art: Survival Prologue;
2455170;Clock Ticker;
2455180;Moose Lost in the Woods;
2455260;RoundRunners Playground;
2455340;Together in Between;
2455350;The Deadly Path;
2455380;Vaulted;
2454420;Paragon Pioneers 2;
2454430;Blamed;
2454510;Dan Factory;
2454550;ROBOHUNT;
2454820;Technophobia: Do Androids go to Heaven?;
2454880;桃の華は鮮血に染まる 零之章;
2453970;No Stone Unturned Prologue;
2454010;Semicolon Island Dedicated Server;
2454030;Winnie-the-Pooh: Realm of Torment;
2454070;Desolated District;
2454110;Coraland: the worst rescuer;
2454140;Bichito Clicker;
2454150;MetaRides Racing;
2454170;Doodle Dice Monsters;
2454210;魔王传说;
2454240;CATS GAME: a stray kitty, cat and dog pet simulation adventure, meow pets;
2454350;REDLINE CROOKS;
2453430;Daedalus: You Have Been Chosen;
2453440;Rebirth Moment;
2453550;The Cannon Fighters;
2453560;Otherworld Hero;
2453570;Freddy's Archives: Remains Of The Past;
2453590;The Onkilons;
2453640;No Stone Unturned;
2453720;Fate Collectors;
2453740;Air Offense Command;
2453780;BitterSweet Detective's Tea Party;
2453800;トロッコ問題 オリジナルサウンドトラック;
2453160;Sword of the Sea;
2453180;Cat Lobster Simulator;
2453400;儒林外史-范进篇;
2452820;Skogdal;
2452900;TerraForge;
2452910;Goblins Never Die;
2453060;Dreamcore;
2452320;Folly Of The Wizards;
2452330;Puzzle World;
2452390;Project Vostok: Full Game;
2452590;Mobbers;
2452640;Cart Legends;
2452030;Monster Island;
2452110;Semicolon Island;
2452120;ONE PIECE: PIRATE WARRIORS 4 Onigashima Battle Law Costume;
2452160;UNSANE 2;
2452170;FREEMAN;
2451460;Lazarus A.D. 2222;
2451490;Thrust Master Deluxe;
2451620;Saddle Up and Drive;
2451640;Furry Myth 🦁;
2451750;NOK;
2451760;Spell Legion;
2451860;幻梦;
2450950;天规天条 Rule;
2451040;Scarlet Lake;
2451050;Maid in Wonderland;
2451060;WISH A WISH;
2451110;End of Knights;
2451230;Starship Traders MMO;
2451300;Jungle Memory;
2451320;Bulletstorm VR;
2451340;The Nightmare Escape;
2450540;Mango's Wonderland;
2450600;Sensual Saga;
2450700;Drug Lord Tycoon;
2450740;Kitchen Madness;
2450840;Detective Dotson;
2450870;Main Action;
2450020;IMMAY;
2450030;LabyrInk;
2450040;Aftershock: Coastline;
2450050;秘密事件：瓦尔普吉斯之夜;
2450060;Rionag: Survey Fleet;
2450090;The Blue Stars;
2450100;西游幸存者;
2450130;Sex Hotel Simulator 🏩;
2450220;1hr Meditation;
2450230;LifeDev;
2450240;Trans Ops;
2450250;cluck-a-thon;
2450400;Trash of the Titans;
2450410;RAINETTE;
2449530;Gehenna;
2449690;Underdose;
2449700;HIGHWAY PATROL SIMULATOR;
2449720;Chase;
2449730;Sugar Bear;
2449900;Selfish Cupid;
2449160;While Waiting;
2449180;Circle killer;
2449270;Planet Iridium;
2449280;Project Fireball;
2449400;My Furry Succubus;
2449430;Incremental Factory;
2449450;Clonizer;
2448610;Beast Slayer;
2448660;Last Hope;
2448880;LIAN;
2448930;Starstruck Vagabond;
2449040;Cursorblade;
2448200;青十字病院 東京都支部 怪異解剖部署;
2448230;Snapback;
2448310;VOICE: Legacy of Hale;
2448420;Deadfall;
2447680;Island Notes;
2447700;God Brawl;
2447720;Burger Zombies;
2447730;Artifice;
2447750;Secret Agent No. 6;
2447790;遠古大陸-經商世界;
2447880;Project Hoyrá;
2447890;Orbit Express;
2447970;Soul Detective;
2447980;Crown Gambit;
2448030;Pine Harbor;
2447220;Cynostone Prologue;
2447240;Roving Rovers;
2447430;Wraithborn;
2447460;Conquered Dread;
2447480;Dungeon Raiders;
2447550;Kdimension;
2447580;疾风猎人;
2446740;X-Force Under Attack;
2446760;YASUKE: A Lost Descendant;
2446870;Monotonia;
2446920;Tower Shield;
2446990;Knight Foretold;
2447120;베일드 엣지(Veiled Edge);
2447150;Cynostone;
2447190;Hyakki Yako: OH&S;
2446320;I HAVE A DREAM;
2446330;ニャンパヤ;
2446340;Garestia;
2446370;A Birthday Present;
2446430;Grounders;
2446480;My Earth;
2446510;Untold Atlas: anime otome sim;
2446600;Dark Deity 2;
2446620;Communite;
2446660;Dragonscale Monastery;
2446680;Drive Me to Hell;
2445840;Annulus;
2445870;Fellowship;
2445910;Shield King;
2445990;Bloomtown;
2446010;BlueCloud Summit;
2446020;Orpheus: Tale of a Lover;
2446030;BloodDome Classic;
2446190;晨晨力量人 Adventure of Roger;
2446270;花园魔三国2 -The Sacrificial Girl of the Fantasy 3 Kingdoms 2-;
2445430;Tensei Brave;
2445510;Contenders: Arena;
2445540;Monster Rampage VR;
2445590;Completely Fictional Story About a City Inside a Whale;
2445640;Retro Revengers;
2445780;Grifford Academy;
2445790;Bennu Bennu: Protect the Pyramid;
2444970;PROJECT: OBSCURION;
2445040;Realm Craft;
2445110;Cecil Hollow;
2445200;Gulch Guardians;
2445210;Imaginary girl -Prequel-;
2445290;C17;
2445310;Cradles;
2445330;三国计;
2445340;Love n Life: Lucky Teacher;
2444700;The Event;
2444710;貴方が狼カードデス！;
2444740;In Wonderland;
2444760;Nexomon 3;
2444850;Neverending Check-in: The Hotel Stories;
2444860;自由江湖;
2444890;Launch Director;
2444060;wav-ocs-cruise-game;
2444140;Single Malt Apocalypse;
2444250;Flipshot;
2444290;Hyper Space;
2444340;Dvalloc;
2444350;Enchanted Portals;
2444380;Mines Of Moritania;
2444460;Pseudo-Psy Play PARTI;
2444480;Riddle for your Life;
2443580;Outer Wards;
2443740;Kill The God;
2443770;Will You Wheel?;
2443780;Settlemoon;
2443790;Terror in the Kitchen;
2443900;A Simple Expurriment;
2443990;Engaging Destiny;
2443110;South Scrimshaw Part One;
2443150;Trash Bandits;
2443320;Just A Walk In The Park;
2443350;Traders of Natac;
2443410;Emme Saves the Galaxy;
2443440;Drainscape;
2443560;Succubus's making lunch;
2442730;A Bonnie Odyssey;
2442770;Defenders of Legends;
2442810;DC Dual Force;
2442820;Ascending Inferno;
2442910;Fix Fixer;
2442960;三界;
2443030;Cybergrid Runner;
2443050;Silent Shores;
2442410;Colony City 27λ;
2442470;Mech Realm;
2442480;Gumball's Downhill Racing;
2442590;KardVenture;
2373440;Miners Settlement;
2373460;Chess!;
